Atom 1	Atom 2	x/a	y/b	z/c	d 1,2 [A]
F1	F3	0.11876	0.25415	0.10004	2.1516
	F2	0.45230	0.20510	0.05903	2.1558
	F2	0.54770	0.79490	-0.05903	3.0047
	F3	0.88124	0.74585	-0.10004	3.6818
	F1	0.51280	0.47744	-0.19726	3.7917
	F3	1.11876	1.25415	0.10004	4.4806
	F2	0.45230	1.20510	0.05903	4.4836
	F3	1.11876	0.25415	0.10004	4.7436
	F3	-0.11876	-0.25415	-0.10004	4.9768
	F2	0.54770	-0.20510	-0.05903	4.9899
	F3	-0.11876	0.74585	-0.10004	5.1750
	F2	-0.54770	0.20510	0.05903	5.5587
	F2	1.45230	1.20510	0.05903	5.5738
	F2	-0.45230	-0.20510	-0.05903	5.5870
	F3	0.11876	1.25415	0.10004	5.8090
	F1	0.51280	0.47744	0.80274	5.8460
	F1	1.48720	0.52256	0.19726	5.8633
	F1	-0.51280	0.52256	0.19726	5.8633
	F1	0.48720	-0.47744	0.19726	5.9866
	F1	0.48720	1.52256	0.19726	5.9866
	F1	-0.51280	-0.47744	0.19726	6.2190
	F1	1.48720	1.52256	0.19726	6.2190
	F2	1.54770	0.79490	-0.05903	6.3189
	F3	0.88124	-0.25415	-0.10004	6.5639
	F1	-0.48720	0.47744	-0.19726	6.6413
	F2	-0.45230	0.79490	-0.05903	6.8473
	F2	1.45230	0.20510	0.05903	6.8667
	F3	0.11876	-0.74585	0.10004	6.8697
	F3	0.88124	0.74585	0.89996	6.8900
	F1	-0.48720	-0.52256	-0.19726	6.9872
	F1	0.51280	1.47744	-0.19726	7.0570
	F1	0.51280	-0.52256	-0.19726	7.1156
	F2	0.54770	0.79490	0.94097	7.1628
	F1	1.51280	0.47744	-0.19726	7.3078
	F3	-0.88124	0.25415	0.10004	7.4507
	F2	-0.54770	-0.79490	0.05903	7.4553
	F3	0.88124	1.74585	-0.10004	7.4636
	F1	1.51280	1.47744	-0.19726	7.5688
	F1	0.51280	1.47744	0.80274	7.7722
	F2	0.45230	-0.79490	0.05903	7.8019
	F1	1.51280	1.47744	0.80274	8.0112
	F2	1.54770	1.79490	-0.05903	8.0122
	F3	-0.11876	0.74585	0.89996	8.0255
	F2	0.54770	1.79490	-0.05903	8.0521
	F3	-0.88124	-0.74585	0.10004	8.1570
	F1	-0.48720	0.47744	0.80274	8.2230
	F3	1.88124	0.74585	-0.10004	8.3119
	F1	1.51280	0.47744	0.80274	8.3360
	F3	-0.11876	-0.25415	0.89996	8.4611
	F2	0.45230	0.20510	1.05903	8.6314
	F3	2.11876	1.25415	0.10004	8.6697
	F3	-1.11876	-0.25415	-0.10004	8.6723
	F2	0.54770	-0.20510	0.94097	8.7389
	F2	-0.54770	1.20510	0.05903	8.8259
	F2	1.54770	0.79490	0.94097	8.8596
	F1	0.51280	-0.52256	0.80274	8.9231
	F3	1.88124	1.74585	-0.10004	8.9272
	F3	0.88124	1.74585	0.89996	8.9682
	F2	0.45230	1.20510	1.05903	8.9869
	F1	-0.48720	-0.52256	0.80274	9.0291
	F3	0.11876	0.25415	1.10004	9.1019
	F3	1.11876	1.25415	1.10004	9.2404
	F3	0.88124	-0.25415	0.89996	9.2841
	F2	-0.45230	-0.20510	0.94097	9.2950
	F2	1.45230	2.20510	0.05903	9.3091
	F2	-0.45230	-1.20510	-0.05903	9.3393
	F2	1.54770	-0.20510	-0.05903	9.3456
	F2	1.45230	1.20510	1.05903	9.3817
	F3	1.11876	2.25415	0.10004	9.4514
	F1	0.48720	0.52256	-0.80274	9.6090
	F1	0.48720	0.52256	1.19726	9.6090
	F2	-0.45230	0.79490	0.94097	9.6371
	F2	1.54770	1.79490	0.94097	9.6730
	F3	-0.11876	-1.25415	-0.10004	9.7178
	F3	1.11876	-0.74585	0.10004	9.8289
	F3	1.11876	0.25415	1.10004	9.8491
	F2	0.54770	1.79490	0.94097	9.8955
	F3	1.88124	0.74585	0.89996	9.9645
F2	F3	0.11876	0.25415	0.10004	2.1481
	F1	0.48720	0.52256	0.19726	2.1558
	F2	0.54770	-0.20510	-0.05903	2.9088
	F1	0.51280	0.47744	-0.19726	3.0047
	F3	-0.11876	-0.25415	-0.10004	3.4388
	F3	0.88124	0.74585	-0.10004	3.5874
	F2	0.54770	0.79490	-0.05903	3.6020
	F3	1.11876	0.25415	0.10004	3.7895
	F1	0.48720	-0.47744	0.19726	4.4836
	F3	0.88124	-0.25415	-0.10004	4.6921
	F2	-0.45230	-0.20510	-0.05903	4.7858
	F1	0.51280	-0.52256	-0.19726	4.9899
	F3	0.11876	-0.74585	0.10004	5.1764
	F1	1.48720	0.52256	0.19726	5.5587
	F1	-0.51280	-0.47744	0.19726	5.5738
	F1	-0.48720	-0.52256	-0.19726	5.5870
	F3	1.11876	1.25415	0.10004	5.6849
	F3	-0.11876	0.74585	-0.10004	5.8498
	F2	1.45230	0.20510	0.05903	5.8633
	F2	-0.54770	0.20510	0.05903	5.8633
	F2	1.54770	0.79490	-0.05903	5.9789
	F2	0.45230	1.20510	0.05903	5.9866
	F2	0.45230	-0.79490	0.05903	5.9866
	F2	-0.54770	-0.79490	0.05903	6.2190
	F2	1.45230	1.20510	0.05903	6.2190
	F1	1.51280	0.47744	-0.19726	6.3189
	F1	-0.48720	0.47744	-0.19726	6.8473
	F1	-0.51280	0.52256	0.19726	6.8667
	F1	0.51280	0.47744	0.80274	7.1628
	F3	0.11876	1.25415	0.10004	7.3561
